"site","time","utm_x","utm_y","S","gamma_t","elevation","ndvi","urban","rainfall","temperature","pop_density","river_index","north_index","n_examined","n_pos","prevalence_true"
1,1,577974.085426891,926450.690584772,-0.281623880047711,0.398199853551786,250.127847831764,0.767625901826386,1,1789.88217508744,22.2274670907425,91.4170999691725,0.847546497361819,-0.494801599124305,172,166,0.951001735068911
1,2,577974.085426891,926450.690584772,-0.281623880047711,0.0258596631665218,250.127847831764,0.767625901826386,1,1789.88217508744,22.2274670907425,91.4170999691725,0.847546497361819,-0.494801599124305,51,46,0.930435010180087
1,3,577974.085426891,926450.690584772,-0.281623880047711,0.032948432077298,250.127847831764,0.767625901826386,1,1789.88217508744,22.2274670907425,91.4170999691725,0.847546497361819,-0.494801599124305,96,86,0.930892438079876
1,4,577974.085426891,926450.690584772,-0.281623880047711,-0.464993083816381,250.127847831764,0.767625901826386,1,1789.88217508744,22.2274670907425,91.4170999691725,0.847546497361819,-0.494801599124305,165,152,0.891149620329034
1,5,577974.085426891,926450.690584772,-0.281623880047711,-0.588357603050111,250.127847831764,0.767625901826386,1,1789.88217508744,22.2274670907425,91.4170999691725,0.847546497361819,-0.494801599124305,197,165,0.878593033685045
1,6,577974.085426891,926450.690584772,-0.281623880047711,0.0808382362852184,250.127847831764,0.767625901826386,1,1789.88217508744,22.2274670907425,91.4170999691725,0.847546497361819,-0.494801599124305,105,98,0.93391041708412
2,1,-147373.644153812,882717.936944315,-0.337183814516334,0.398199853551786,272.729876920343,0.77325036742206,1,1643.03203359588,22.7056302334502,37.9538732705948,0.0141119693348408,-0.667288929091371,118,100,0.859782449881762
2,2,-147373.644153812,882717.936944315,-0.337183814516334,0.0258596631665218,272.729876920343,0.77325036742206,1,1643.03203359588,22.7056302334502,37.9538732705948,0.0141119693348408,-0.667288929091371,165,123,0.808631752497531
2,3,-147373.644153812,882717.936944315,-0.337183814516334,0.032948432077298,272.729876920343,0.77325036742206,1,1643.03203359588,22.7056302334502,37.9538732705948,0.0141119693348408,-0.667288929091371,197,168,0.809726314971727
2,4,-147373.644153812,882717.936944315,-0.337183814516334,-0.464993083816381,272.729876920343,0.77325036742206,1,1643.03203359588,22.7056302334502,37.9538732705948,0.0141119693348408,-0.667288929091371,148,102,0.721173758781522
2,5,-147373.644153812,882717.936944315,-0.337183814516334,-0.588357603050111,272.729876920343,0.77325036742206,1,1643.03203359588,22.7056302334502,37.9538732705948,0.0141119693348408,-0.667288929091371,131,87,0.695704723767857
2,6,-147373.644153812,882717.936944315,-0.337183814516334,0.0808382362852184,272.729876920343,0.77325036742206,1,1643.03203359588,22.7056302334502,37.9538732705948,0.0141119693348408,-0.667288929091371,118,96,0.816995467796802
3,1,790952.023937056,967469.610537225,-0.0654887456391341,0.398199853551786,253.601930653261,0.655017183113688,0,1519.50841922928,24.3223168062814,100.446050281459,0.262678234304394,-0.333017961192432,125,118,0.940103525671179
3,2,790952.023937056,967469.610537225,-0.0654887456391341,0.0258596631665218,253.601930653261,0.655017183113688,0,1519.50841922928,24.3223168062814,100.446050281459,0.262678234304394,-0.333017961192432,176,166,0.915369428825428
3,3,790952.023937056,967469.610537225,-0.0654887456391341,0.032948432077298,253.601930653261,0.655017183113688,0,1519.50841922928,24.3223168062814,100.446050281459,0.262678234304394,-0.333017961192432,71,64,0.915916968758551
3,4,790952.023937056,967469.610537225,-0.0654887456391341,-0.464993083816381,253.601930653261,0.655017183113688,0,1519.50841922928,24.3223168062814,100.446050281459,0.262678234304394,-0.333017961192432,125,115,0.86877598672327
3,5,790952.023937056,967469.610537225,-0.0654887456391341,-0.588357603050111,253.601930653261,0.655017183113688,0,1519.50841922928,24.3223168062814,100.446050281459,0.262678234304394,-0.333017961192432,150,130,0.854061125707751
3,6,790952.023937056,967469.610537225,-0.0654887456391341,0.0808382362852184,253.601930653261,0.655017183113688,0,1519.50841922928,24.3223168062814,100.446050281459,0.262678234304394,-0.333017961192432,128,122,0.919532405955707
4,1,636274.177653171,847710.483645076,-0.0606670224232059,0.398199853551786,223.56160422961,0.803561755945024,0,1686.16242478846,20.9722573826431,188.720964902169,0.750915891294004,-0.805362607190308,145,136,0.947129367738585
4,2,636274.177653171,847710.483645076,-0.0606670224232059,0.0258596631665218,223.56160422961,0.803561755945024,0,1686.16242478846,20.9722573826431,188.720964902169,0.750915891294004,-0.805362607190308,127,117,0.925065314589381
4,3,636274.177653171,847710.483645076,-0.0606670224232059,0.032948432077298,223.56160422961,0.803561755945024,0,1686.16242478846,20.9722573826431,188.720964902169,0.750915891294004,-0.805362607190308,88,84,0.925555226104397
4,4,636274.177653171,847710.483645076,-0.0606670224232059,-0.464993083816381,223.56160422961,0.803561755945024,0,1686.16242478846,20.9722573826431,188.720964902169,0.750915891294004,-0.805362607190308,196,171,0.883128401894941
4,5,636274.177653171,847710.483645076,-0.0606670224232059,-0.588357603050111,223.56160422961,0.803561755945024,0,1686.16242478846,20.9722573826431,188.720964902169,0.750915891294004,-0.805362607190308,86,69,0.869781724749405
4,6,636274.177653171,847710.483645076,-0.0606670224232059,0.0808382362852184,223.56160422961,0.803561755945024,0,1686.16242478846,20.9722573826431,188.720964902169,0.750915891294004,-0.805362607190308,88,81,0.928788454963027
5,1,549591.622331284,845758.749076441,0.0403899590506279,0.398199853551786,250.678173240151,0.807190297369576,1,1795.88729554493,21.5251055640317,87.4137170539957,0.94278361144964,-0.813060487074936,91,85,0.959652176677928
