"id","group","utm_x","utm_y","n_examined","n_pos","prevalence_true","S_shared","S_specific","elevation","ndvi","urban","rainfall","temperature","pop_density","river_index","north_index"
1,"adults",179308.661611638,984428.070505776,157,94,0.533916295552804,0.1597686027126,0.195351860716041,256.989940595064,0.621999942923053,0,1606.27259970329,22.6274631078615,80.501240243922,0.51761991518597,-0.319972859555088
2,"adults",544427.789025783,1107474.17349724,211,176,0.827163681316705,0.897316956948216,0.441491636880606,362.553474003814,0.657966986196369,1,1636.61751284603,24.5220997350301,25.181402658564,0.702674527326723,0.182187511995071
3,"adults",-21309.2230429572,1397693.78064887,114,68,0.661234241067623,0.665134354052307,-0.397782884078476,229.43977808199,0.415133064399495,0,1037.22320871027,27.1674619646944,9.58072552824413,0.266358719132587,1.36659548766675
4,"adults",-39378.4993800019,1040025.71361099,89,41,0.390062712908397,0.528217555126237,-0.560105433107405,275.953612168751,0.700717644528499,1,1437.78197655884,23.724305548128,37.6367310823365,0.0942732311743485,-0.0930747096724716
5,"adults",563014.447383179,1313319.02544135,152,136,0.874086986870668,1.14885054687867,0.352609575717015,301.397821872892,0.494178139251906,0,1101.89475656178,26.0855643811859,51.1865327602311,0.48923738316597,1.02225578576327
6,"adults",423614.819503487,1167461.91599075,184,143,0.759538063070002,0.946560444134321,-0.318977287879015,371.041775410356,0.565409416579735,1,1507.64798319494,25.6454349623789,32.5581295281666,0.952855261513659,0.427001986624057
7,"adults",193653.359054339,1365532.6329612,191,178,0.902640753739433,1.43291837513822,0.0580488567859462,292.544204595477,0.317432486784102,0,986.01148924184,26.5476308254175,9.785697164794,0.840386085871065,1.23534343270776
8,"adults",462435.458107227,997667.384646712,120,81,0.715073856703116,0.344555890867217,0.29830806338275,264.760678352216,0.71439604983246,0,1723.03181691902,24.1537637954091,53.5798774476534,0.959119626959685,-0.265942225943371
9,"adults",412684.904466176,1199954.76256376,124,83,0.67817197189146,0.538191887636024,-0.37654106752776,357.85656962777,0.531335368204022,1,1399.2103789612,26.4164825978184,33.1882781220212,0.956738007395642,0.559607729602791
10,"adults",1008946.22235759,1264251.65231381,72,53,0.790682671750479,1.8121890812022,-0.324082430955727,345.271480946743,0.458862721922321,0,1359.13134738134,25.8493226325137,104.445107739731,0.00342822263299417,0.82200815725914
11,"adults",925020.595990076,1238900.78864367,149,108,0.71266317681538,1.19380316009167,-0.0300795699120614,379.025744609208,0.424515849517606,0,1224.92502961989,26.4346079732869,84.5429983522463,0.0142408083924922,0.718549381969044
12,"adults",382053.828816462,791621.730543988,154,57,0.42175519975133,-0.240848977822033,0.131159351837048,326.750530879048,0.796855370111215,0,1786.27808207404,22.1142786972364,87.5000965667776,0.931451402529737,-1.10682998837578
13,"adults",292031.63885609,514311.952250584,164,15,0.0899300018548926,-1.09451120986396,-0.0663512738431527,246.121306175579,0.885274286535166,1,2274.28954189341,18.6379615272915,213.909426011868,0.497384940838845,-2.23855198457724
14,"adults",89790.7163403258,1176552.19335724,85,59,0.647832924171203,0.432988550731722,0.15760513165578,359.506411441174,0.522280172709413,1,1389.29713953341,26.5545460326963,35.7671249959162,0.401207490029949,0.464100090089917
15,"adults",419687.844892315,1018380.10771684,128,95,0.770668447622284,0.616956434313668,0.275331396912157,288.797424278518,0.67670411966347,0,1560.00890284557,24.825683338771,49.2172001334132,0.994913290503745,-0.181412050181257
16,"adults",786416.084614854,806422.491769064,63,29,0.501765584512871,1.06065352602375,-0.251601198902143,294.873452939133,0.751606126110559,0,1790.22302018837,20.8358725924494,128.013475164722,0.248142980648853,-1.04642697214596
17,"adults",795502.828484863,1430744.46276439,161,144,0.878912138222573,2.46281596311285,-0.637211719696325,274.057389570587,0.27932905526589,1,1012.64760513314,27.4961420304363,22.6093317952614,0.0427176805877199,1.50147779931755
18,"adults",861040.609191792,1086083.01616837,155,115,0.734003687643738,1.10281960309865,0.391179721307777,330.21491790243,0.531095584809606,1,1561.51211959202,25.3369557354077,138.879187868437,0.0560852743423116,0.0948885951582053
19,"adults",445008.334867117,1201301.01436353,212,160,0.776787490095647,0.616978041796577,0.0669152944429924,338.039549703508,0.552409679849317,1,1339.58218988148,25.9680058080515,54.5336162025388,0.899106780441386,0.565101884131354
20,"adults",-66611.4633094057,759959.977753158,87,23,0.363250175620701,-0.0270048462127258,0.523522787606374,334.659084832246,0.856492720727594,1,1946.82518533492,22.4334458959092,45.3527151103274,0.028544379723798,-1.23604397531917
21,"adults",-131631.748560763,740555.344142181,184,59,0.30908324622206,0.190886187935609,0.136406470298058,362.179598650324,0.859491744426495,0,1969.44169622079,21.198539221182,34.9291758188446,0.010532394136814,-1.31523573992595
22,"adults",552218.07104515,1086948.66589334,207,180,0.831245611794286,0.755757427933326,0.6233976336178,293.871383414329,0.67265970068579,1,1528.5056539189,23.2094325548749,67.6649368998953,0.695049048993282,0.0984213765869184
23,"adults",84772.7828006013,1133956.40892041,85,30,0.44089959954022,-0.0531920682964666,-0.119634578566651,303.60044291678,0.560536604644504,1,1520.30984157655,24.8853719106717,72.5204794489834,0.359210542280615,0.290263500232601
24,"adults",385450.836536166,712632.855634739,112,27,0.307664558352225,-0.322943325110762,-0.100668383273205,363.239753272997,0.836840821935868,0,1988.51154578677,20.1599842772096,242.98336109695,0.899378517948428,-1.42918950898173
25,"adults",510033.051143402,668937.066828423,137,69,0.47847994168934,-0.634621045911786,0.912292027581028,356.709318385113,0.887810002402632,1,2013.05649898953,20.6765235340782,256.098319103645,0.99413969980796,-1.60751529914251
26,"adults",369017.748268013,664335.020937294,136,25,0.228773374740953,-0.469898192216171,-0.167588579909698,399.275017739732,0.85109881195665,1,2135.392739741,18.6096832388083,181.004865986332,0.832993969192686,-1.62629659345738
27,"adults",45743.5089298128,726868.951912093,73,33,0.383387308465815,-0.28687154968619,0.903508499643182,366.657701846345,0.844086044991279,1,1995.05767835781,21.6575027937967,81.1844644620628,0.100043126557023,-1.37109093273868
28,"adults",768595.840279069,1366937.77645418,110,101,0.848226835116551,1.87070089406012,-0.227745502151901,257.897989236178,0.335220101208014,1,1020.83894326728,27.6468408998809,23.2784417188576,0.0718335819151553,1.24107792865168
29,"adults",385355.745018234,846551.682748449,141,84,0.595723878278685,0.434868306491256,-0.00268688775885909,255.20666378504,0.768060838411642,1,1889.46209949933,21.6477905460155,65.6742111973592,0.958749599520454,-0.88265673511852
30,"adults",347438.813534562,951256.479145142,97,76,0.819879811331472,0.887074373102361,0.496373510768017,241.791770201804,0.677935401681779,1,1837.94063129732,23.6194639737146,81.4054946661522,0.941613622534233,-0.455348610900272
31,"adults",93891.2575672391,1157753.32726988,194,125,0.573200779306389,0.243969799333154,0.0723545070718466,364.836787021746,0.534519177827371,0,1213.17461357256,25.8698255050371,33.7644022988444,0.399360514362396,0.387380508163727
